Priority,Work package,Why it is ordered here,Estimated effort,Source,Interpretation
1,Repair review defects and create a frozen end-to-end baseline,"Every predictive comparison depends on trustworthy identities, timestamps and serving features",3–7 days,../APPLICATION_IMPROVEMENT_STUDY_2026-09-08.md,Planning estimates in focused engineering days; exclude future data accumulation and access delays
2,MLB at-bat opportunity challenger with full D+xBA recalibration,"New, directly reproduced specification defect with encouraging component evidence",2–4 days,../APPLICATION_IMPROVEMENT_STUDY_2026-09-08.md,Planning estimates in focused engineering days; exclude future data accumulation and access delays
3,Offer preservation and DK/FD exact-line pricing,Measured price opportunity; benefits decisions independently of new sports signal,3–6 days,../APPLICATION_IMPROVEMENT_STUDY_2026-09-08.md,Planning estimates in focused engineering days; exclude future data accumulation and access delays
4,NFL participation-aware outcome table and two-prop opportunity pilot,Largest underdeveloped predictive area with useful local input layers,5–10 days,../APPLICATION_IMPROVEMENT_STUDY_2026-09-08.md,Planning estimates in focused engineering days; exclude future data accumulation and access delays
5,Same-time market benchmark and bounded residual model,Tests whether new information adds beyond prices already available,2–5 days,../APPLICATION_IMPROVEMENT_STUDY_2026-09-08.md,Planning estimates in focused engineering days; exclude future data accumulation and access delays
6,"Correct parlay value labeling, exact independent probabilities and open-exposure limits",Removes avoidable numerical and decision-accounting weaknesses,2–4 days,../APPLICATION_IMPROVEMENT_STUDY_2026-09-08.md,Planning estimates in focused engineering days; exclude future data accumulation and access delays
7,"Time-aware model manifests, candidate diffs and prospective experiment registry",Makes improvements reproducible and prevents validation drift,"2–5 days, partly shared with priority 1",../APPLICATION_IMPROVEMENT_STUDY_2026-09-08.md,Planning estimates in focused engineering days; exclude future data accumulation and access delays
8,NFL conditional/discrete distribution experiment,Modest residual-distribution lead; better target for tail research than another broad feature sweep,3–6 days,../APPLICATION_IMPROVEMENT_STUDY_2026-09-08.md,Planning estimates in focused engineering days; exclude future data accumulation and access delays
9,"Pure prediction boundary, bounded maintenance and targeted batching",Improves consistency and quote timeliness; profile before broad optimization,3–6 days,../APPLICATION_IMPROVEMENT_STUDY_2026-09-08.md,Planning estimates in focused engineering days; exclude future data accumulation and access delays
10,MLB hierarchical rates and pitcher workload pilot,Mechanistically meaningful new information/uncertainty treatment,4–8 days,../APPLICATION_IMPROVEMENT_STUDY_2026-09-08.md,Planning estimates in focused engineering days; exclude future data accumulation and access delays
11,NBA statistics/role-minutes foundation,Needed for credible NBA improvements; secondary to the active NFL program,5–10 days,../APPLICATION_IMPROVEMENT_STUDY_2026-09-08.md,Planning estimates in focused engineering days; exclude future data accumulation and access delays
12,"Pitch physics, boosted distribution models and full simulation","Higher cost, less direct local evidence of incremental market information",Scope only after simpler candidates pass,../APPLICATION_IMPROVEMENT_STUDY_2026-09-08.md,Planning estimates in focused engineering days; exclude future data accumulation and access delays
